秦皇岛、山海关、绥中北、葫芦岛北、锦州南、盘锦北、台安、辽中、沈阳北						
南京南、全椒、巢北、肥东、合肥南						
济南、济南东、淄博、青州市、昌乐、潍坊、高密、城阳、沧口、四方、青岛						
北京南、亦庄、武清、天津						
武汉、咸宁北、赤壁北、岳阳东、汩罗东、长沙南、株洲西、衡山西、衡阳东、耒阳西、郴州西、乐昌东、韶关、英德西、清远、广州北、广州南						
石家庄、阳泉北、太原东、太原、太原南						
合肥南、六安、金寨、麻城北、红安西、汉口						
宁波、宁波东、奉化、宁海、三门县、临海、台州、台州南、温岭、雁荡山、绅坊、乐清、永嘉、温州南、瓯海、瑞安、平阳、苍南、福鼎、太姥山、霞浦、福安、宁德、罗源、连江、福州					
上海虹桥、松江南、金山北、嘉善南、嘉兴南、桐乡、海宁西、余杭、杭州东						
宜昌东、巴东、建始、恩施、利川						
海口、海口东、美兰、文昌、琼海、博鳌、万宁、神州、陵水、亚龙湾、三亚						
郑州东、郑州西、巩义南、洛阳龙门、渑池南、三门峡南、灵宝西、华山北、渭南北、西安北						
福州、福州南、福清、涵江、莆田、仙游、惠安、泉州、晋江、厦门北、杏林、厦门高崎、厦门						
成都、安靖、犀浦东、犀浦、红光镇、郫县东、郫县、郫县西、安徳、都江堰、青城山						
上海、上海西、南翔北、安亭北、花桥、昆山南、阳澄湖、苏州园区、苏州、苏州新区、无锡新区、无锡、惠山、戚墅堰、常州、丹阳、丹徒、镇江、宝华山、仙林、南京						
南昌西、永修、共青城、徳安、庐山、九江						
长春、龙嘉、九台南、双吉、吉林						
广州南、碧江、北滘、顺徳、顺徳学院、容桂、南头、小榄、东升、中山北、中山、南朗、翠亨、珠海北、唐家湾、明珠、前山、珠海						
广州南、庆盛、虎门、光明城、深圳北、福田						
北京南、廊坊、天津南、沧州西、徳州东、济南西、泰安、曲阜东、滕州东、枣庄、徐州东、宿州东、蚌埠南、定远、滁州、南京南、镇江南、丹阳北、常州北、无锡东、苏州北、昆山南、上海虹桥				
合肥、合肥北城、水家湖、淮南东、蚌埠南						
沈阳北、铁岭西、开原西、昌图西、四平东、公主岭南、长春西、德惠西、扶余北、双城北、哈尔滨西						
沈阳北、沈阳、辽阳、鞍山西、海城西、营口东、盖州西、鲅鱼圈、瓦房店西、普湾、大连北						
北京西、涿州东、高碑店东、保定东、定州东、正定机场、石家庄、高邑西、邢台东、邯郸东、安阳东、鹤壁东、新乡东、郑州东						
厦门北、角美、漳州						
汉口、汉川、天门南、仙桃西、潜江、荆州、枝江北、宜昌东						
郑州东、许昌东、漯河西、驻马店西、明港东、信阳东、孝感北、武汉						
天津西、天津、军粮城北、滨海西、滨海北、唐山、滦河、北戴河、秦皇岛						
衡阳东、祁东、祁阳、永州、东安东、全州南、兴安北、桂林北、桂林、永福南、鹿寨北、柳州						
漳州、漳浦、云霄、诏安、饶平、潮汕、潮阳、普宁、葵潭、陆丰、汕尾、鲘门、惠东、惠州南、深圳坪山、深圳北						
西安北、咸阳秦都、杨陵南、岐山、宝鸡南						
石柱县、丰都、涪陵北、长寿北、重庆北						
南湖东、汤逊湖、庙山、普安、纸坊东、乌龙泉南、土地堂东、山坡东、贺胜桥东、横沟桥东、咸宁东、咸宁南						
柳州、来宾北、宾阳、南宁东、南宁						
钦州东、北海						
钦州、防城港北						
南京南、江宁、句容西、溧水、瓦屋山、溧阳、宜兴、长兴、湖州、德清、杭州东						
杭州东、杭州南、绍兴北、绍兴东、余姚北、庄桥、宁波						
盘锦北、盘锦、营口东						
柳园南、哈密、吐哈、鄯善北、吐鲁番北、乌鲁木齐南						
杭州东、杭州南、诸暨、义乌、金华、龙游、衢州、江山、玉山南、上饶、弋阳、鹰潭北、抚州东、进贤南、南昌西						
长沙南、湘潭北、韶山南、娄底南、邵阳北、新化南、溆浦南、怀化南、芷江、新晃西						
江油、青莲、绵阳、罗江东、德阳、广汉北、青白江东、新都东、成都东						
成都东、成都南、双流机场、双流西、新津、新津南、彭山北、眉山东、青神、乐山						
兰州西、民和南、乐都南、海东西、西宁、大通西、门源、民乐、张掖西、临泽南、高台南、清水北、酒泉南、嘉峪关南、玉门、柳园南						
龙里北、贵定县、三都县、榕江、从江、三江南、桂林西、桂林北、阳朔、恭城、钟山西、贺州、怀集、广宁、肇庆东、三水南、广州南						
梧州南、郁南、南江口、云浮东、肇庆西、肇庆东、三水南、广州南						
贵阳北、贵阳东、龙洞堡、龙里北、贵定县、都匀东、三都县、榕江、从江、三江南、五通、桂林西、桂林北、阳朔、恭城、钟山西、贺州、怀集、广宁、肇庆东、三水南、佛山西、广州南						
即墨北、夏格庄、莱西北、莱阳、海阳北、桃村北、烟台南、牟平、威海北、威海、文登东、荣成
郑州东、贾鲁河、绿博园、运粮河、宋城路						
南宁、南宁东、宾阳、贵港、桂平、平南南、藤县、梧州南						
花山南、左岭、葛店南、华容南、鄂州、鄂州东、花湖、黄石北、大治北						
葛店南、华容东、黄冈西、黄冈、黄冈东						
太原南、晋中、太谷西、祁县东、平遥古城、介休东、灵石东、霍州东、洪洞西、临汾西、襄汾西、侯马西、闻喜西、运城北、永济北、大荔、渭南北、西安北						
南昌西、高安、新余北、宜春、萍乡北、醴陵东、长沙南						
牡丹江、爱河、磨刀石、穆棱						
南宁西、隆安东、平果、那何北、田东北、田阳、百色						
丹东、丹东西、东港北、北井子、大孤山、青堆、庄河北、花园口、城子坦、皮口、杏树屯、登沙河、广宁寺、金州、大连北						
东孝、金华南、武义北、永康南、缙云西、丽水、陈篆、青田、温州南						
赣州、于都、会昌北、瑞金、长汀南、冠豸山、古田会址、龙岩						
广元、苍溪、阆中、南部、南充北、武胜、渭沱						
成都东、简阳南、资阳北、资中北、内江北、隆昌北、荣昌北、大足南、永川东、璧山、沙坪坝、重庆北						
穆棱、细鳞河、绥阳						
天津西、胜芳、霸州西、白沟、白洋淀、徐水、保定						
海口、老城镇、福山镇、临高南、银滩、白马井、海头、棋子湾、东方、金月湾、尖峰、黄流、乐东、崖城、凤凰、三亚西、三亚						
