Hsrlnm,Orgsnm,Dstntnm,Hsrloptm,Hsrlspd,Dsgnspd,Mnst
高铁线路名称,起点名,终点名,开通时间,线路长度(km),设计速度(km/h）,沿途主要车站
秦沈客运专线,秦皇岛,沈阳北,2003/7/1,405,250,秦皇岛、山海关、绥中北、葫芦岛北、锦州南、盘锦北、台安、辽中、沈阳北
宁蓉铁路合宁段,南京南,合肥南,2008/4/18,157,250,南京南、全椒、巢北、肥东、合肥南
胶济客运专线,济南,青岛,2008/7/20,393,250,济南、济南东、淄博、青州市、昌乐、潍坊、高密、城阳、沧口、四方、青岛
京津城际铁路,北京南,天津,2008/8/1,120,350,北京南、亦庄、武清、天津
京广高速铁路武广段,武汉,广州南,2009/12/26,1069,350,武汉、咸宁北、赤壁北、岳阳东、汩罗东、长沙南、株洲西、衡山西、衡阳东、耒阳西、郴州西、乐昌东、韶关、英德西、清远、广州北、广州南
石太客运专线,石家庄,太原南,2009/4/1,232,250,石家庄、阳泉北、太原东、太原、太原南
宁蓉铁路合武段,含肥南,汉口,2009/4/1,359,250,合肥南、六安、金寨、麻城北、红安西、汉口
杭深铁路甬连段,宁波,福州,2009/9/28,537,250,宁波、宁波东、奉化、宁海、三门县、临海、台州、台州南、温岭、雁荡山、绅坊、乐清、永嘉、温州南、瓯海、瑞安、平阳、苍南、福鼎、太姥山、霞浦、福安、宁德、罗源、连江、福州
沪昆高速铁路沪杭段,上海虹桥,杭州东,2010/10/26,159,350,上海虹桥、松江南、金山北、嘉善南、嘉兴南、桐乡、海宁西、余杭、杭州东
宁蓉铁路宜凉段,宜昌东,凉雾,2010/12/22,288,160,宜昌东、巴东、建始、恩施、利川
海南东环铁路,海口,三亚,2010/12/30,308,250,海口、海口东、美兰、文昌、琼海、博鳌、万宁、神州、陵水、亚龙湾、三亚
徐兰高速铁路郑西,郑州东,西安北,2010/2/6,523,350,郑州东、郑州西、巩义南、洛阳龙门、渑池南、三门峡南、灵宝西、华山北、渭南北、西安北
福厦铁路,福州,厦门,2010/4/26,276,250,福州、福州南、福清、涵江、莆田、仙游、惠安、泉州、晋江、厦门北、杏林、厦门高崎、厦门
成灌客运专线,成都,青城山,2010/5/10,65,200,成都、安靖、犀浦东、犀浦、红光镇、郫县东、郫县、郫县西、安徳、都江堰、青城山
沪宁高速铁路,上海,南京,2010/7/1,301,300,上海、上海西、南翔北、安亭北、花桥、昆山南、阳澄湖、苏州园区、苏州、苏州新区、无锡新区、无锡、惠山、戚墅堰、常州、丹阳、丹徒、镇江、宝华山、仙林、南京
昌九城际铁路,南昌西,九江,2010/8/28,142,250,南昌西、永修、共青城、徳安、庐山、九江
长吉城际铁路,长春,吉林,2011/1/11,111,250,长春、龙嘉、九台南、双吉、吉林
广珠城际铁路,广州南,珠海,2011/1/7,116,250,广州南、碧江、北滘、顺徳、顺徳学院、容桂、南头、小榄、东升、中山北、中山、南朗、翠亨、珠海北、唐家湾、明珠、前山、珠海
广深港高速铁路广深段,广州南,深圳北,2011/12/26,102,350,广州南、庆盛、虎门、光明城、深圳北、福田
京沪高速铁路,北京南,上海虹桥,2011/6/30,1318,350,北京南、廊坊、天津南、沧州西、徳州东、济南西、泰安、曲阜东、滕州东、枣庄、徐州东、宿州东、蚌埠南、定远、滁州、南京南、镇江南、丹阳北、常州北、无锡东、苏州北、昆山南、上海虹桥
